Symbol,Company,Sector
CTD.AX,Corporate Travel Management Ltd,Consumer Discretionary
CTE.AX,Cryosite Ltd,Health Care
CTM.AX,Centaurus Metals Ltd,Materials
CTO.AX,Citigold Corporation Ltd,Materials
CTP.AX,Central Petroleum Ltd,Energy
CTX.AX,Caltex Australia Ltd,Energy
CUE.AX,CUE Energy Resources Ltd,Energy
CUL.AX,Cullen Resources Ltd,Materials
CUP.AX,Countplus Ltd,Industrials
CURE.AX,ETFs S&P Biotech ETF,
CUV.AX,Clinuvel Pharmaceuticals Ltd,Health Care
CUX.AX,Crossland Strategic Metals Ltd,Materials
CV1.AX,CV Check Ltd,Information Technology
CVC.AX,CVC Ltd,Financials
CVF.AX,Contrarian Value Fund Ltd,
CVL.AX,Civmec Ltd,Industrials
CVN.AX,Carnarvon Petroleum Ltd,Energy
CVS.AX,Cervantes Corporation Ltd,Materials
CVV.AX,Caravel Minerals Ltd,Materials
CVW.AX,Clearview Wealth Ltd,Financials
CWL.AX,Chant West Holdings Ltd,Information Technology
CWN.AX,Crown Resorts Ltd,Consumer Discretionary
CWP.AX,Cedar Woods Properties Ltd,Real Estate
CWX.AX,Carawine Resources Ltd,Materials
CWY.AX,Cleanaway Waste Management Ltd,Industrials
CWZ.AX,Cashwerkz Ltd,Financials
CXL.AX,CALIX Ltd,Materials
CXM.AX,Centrex Metals Ltd,Materials
CXO.AX,Core Lithium Ltd,Materials
CXU.AX,Cauldron Energy Ltd,Energy
CXX.AX,Cradle Resources Ltd,Materials
CXZ.AX,Connexion Telematics Ltd,Information Technology
CY5.AX,CYGNUS Gold Ltd,Materials
CYC.AX,Cyclopharm Ltd,Health Care
CYG.AX,Coventry Group Ltd,Industrials
CYL.AX,Catalyst Metals Ltd,Materials
CYM.AX,Cyprium Metals Ltd,Materials
CYP.AX,Cynata Therapeutics Ltd,Health Care
CYQ.AX,CYCLIQ Group Ltd,Consumer Discretionary
CZI.AX,Cassini Resources Ltd,Materials
CZL.AX,Consolidated ZINC Ltd,Materials
CZN.AX,Corazon Mining Ltd,Materials
CZR.AX,Coziron Resources Ltd,Materials
D13.AX,Delaware Thirteen Ltd,Industrials
D2O.AX,Duxton Water Ltd,
DAF.AX,Discovery Africa Ltd,Materials
DAU.AX,Dampier Gold Ltd,Materials
DAV.AX,Davenport Resources Ltd,Materials
DBBF.AX,Betashares Diversified Balanced ETF,
DBF.AX,Duxton Broadacre Farms Ltd,Consumer Staples
DCC.AX,Digitalx Ltd,Information Technology
DCG.AX,Decmil Group Ltd,Industrials
